,I_US,I_EU,Inf_US,Inf_EU,Euro
2012-09-01,0.26,0.3324,0.016859349154821235,0.026172529313232884,1.2510946989059448
2012-10-01,0.24,0.2463,0.019497168982819613,0.02608605279567655,1.2809016704559326
2012-11-01,0.23,0.2079,0.021556780595369363,0.02496116002071469,1.2965123653411865
2012-12-01,0.23,0.192,0.017960197033926262,0.021937086092715274,1.2973533868789673
2013-01-01,0.24,0.1854,0.017595049796895523,0.022174092409241064,1.3201320171356201
2013-02-01,0.23,0.2049,0.01684061762098299,0.019858598461218513,1.3610997200012207
2013-03-01,0.22,0.2234,0.020181404902574807,0.0185185185185186,1.3059945106506348
2013-04-01,0.21,0.2061,0.015187472411246183,0.017362884281483026,1.2805737257003784
2013-05-01,0.2,0.2089,0.01138808047576867,0.011793411956079636,1.3168290853500366
2013-06-01,0.2,0.2012,0.013903888279197085,0.014252265092130623,1.3043931722640991
2013-07-01,0.19,0.2103,0.017157935271568725,0.016097809475292824,1.3014055490493774
2013-08-01,0.14,0.2214,0.01885471805415806,0.015977058582548054,1.3301409482955933
2013-09-01,0.12,0.2259,0.01538809488600279,0.013262599469495928,1.3236267566680908
2013-10-01,0.11,0.2232,0.010947341081747997,0.010837638002633376,1.3525211811065674
2013-11-01,0.12,0.2256,0.00876799143491147,0.007275666936136016,1.3579760789871216
2013-12-01,0.12,0.2234,0.012328701961954458,0.008505467800729027,1.360396146774292
2014-01-01,0.14,0.2735,0.015128383667573297,0.008475431338916373,1.3744947910308838
2014-02-01,0.12,0.292,0.01557758795574915,0.007646039351615785,1.3558770418167114
2014-03-01,0.13,0.2881,0.011204746347724948,0.0070086338242763,1.3707455396652222
2014-04-01,0.12,0.3053,0.016126949139408042,0.004618010239935577,1.3775053024291992
2014-05-01,0.12,0.3297,0.02015125303606169,0.007033762057877757,1.386924147605896
2014-06-01,0.11,0.3246,0.02166947687079812,0.004817825956037414,1.360451579093933
2014-07-01,0.11,0.2414,0.020589816945944195,0.00491326581770779,1.3693565130233765
2014-08-01,0.13,0.205,0.019742378703305974,0.0037298387096773578,1.3389928340911865
